2022,sunrise time,Zenith,CF Sunset,Day length,Astronomical twilight start,Nautical twilight start,Civil twilight start,Civil twilight end,Nautical twilight end,Astronomical twilight end,
31-Aug,6:24 AM,1:14 PM,8:04 PM,13:39:36,−3:48,4:18 AM,5:06 AM,6:24 AM,8:04 PM,9:22 PM,10:10 PM
01-Sep,6:26 AM,1:14 PM,8:02 PM,13:35:47,−3:49,4:21 AM,5:08 AM,6:26 AM,8:02 PM,9:20 PM,10:07 PM
02-Sep,6:28 AM,1:14 PM,8:00 PM,13:31:58,−3:49,4:23 AM,5:10 AM,6:28 AM,8:00 PM,9:17 PM,10:04 PM
03-Sep,6:29 AM,1:13 PM,7:57 PM,13:28:08,−3:50,4:25 AM,5:12 AM,6:29 AM,7:57 PM,9:14 PM,10:01 PM
04-Sep,6:31 AM,1:13 PM,7:55 PM,13:24:18,−3:50,4:28 AM,5:14 AM,6:31 AM,7:55 PM,9:12 PM,9:58 PM
05-Sep,6:32 AM,1:13 PM,7:53 PM,13:20:27,−3:51,4:30 AM,5:16 AM,6:32 AM,7:53 PM,9:09 PM,9:55 PM
06-Sep,6:34 AM,1:12 PM,7:51 PM,13:16:36,−3:51,4:32 AM,5:18 AM,6:34 AM,7:51 PM,9:07 PM,9:52 PM
07-Sep,6:36 AM,1:12 PM,7:48 PM,13:12:44,−3:52,4:35 AM,5:20 AM,6:36 AM,7:48 PM,9:04 PM,9:49 PM
08-Sep,6:37 AM,1:12 PM,7:46 PM,13:08:53,−3:51,4:37 AM,5:22 AM,6:37 AM,7:46 PM,9:02 PM,9:46 PM
09-Sep,6:39 AM,1:11 PM,7:44 PM,13:05:00,−3:53,4:39 AM,5:23 AM,6:39 AM,7:44 PM,8:59 PM,9:43 PM
10-Sep,6:40 AM,1:11 PM,7:41 PM,13:01:07,−3:53,4:41 AM,5:25 AM,6:40 AM,7:41 PM,8:57 PM,9:41 PM
11-Sep,6:42 AM,1:10 PM,7:39 PM,12:57:14,−3:53,4:43 AM,5:27 AM,6:42 AM,7:39 PM,8:54 PM,9:38 PM
12-Sep,6:43 AM,1:10 PM,7:37 PM,12:53:21,−3:53,4:45 AM,5:29 AM,6:43 AM,7:37 PM,8:51 PM,9:35 PM
13-Sep,6:45 AM,1:10 PM,7:35 PM,12:49:28,−3:53,4:47 AM,5:31 AM,6:45 AM,7:35 PM,8:49 PM,9:32 PM
14-Sep,6:47 AM,1:09 PM,7:32 PM,12:45:34,−3:54,4:49 AM,5:32 AM,6:47 AM,7:32 PM,8:46 PM,9:29 PM
15-Sep,6:48 AM,1:09 PM,7:30 PM,12:41:40,−3:54,4:52 AM,5:34 AM,6:48 AM,7:30 PM,8:44 PM,9:27 PM
16-Sep,6:50 AM,1:09 PM,7:28 PM,12:37:45,−3:55,4:54 AM,5:36 AM,6:50 AM,7:28 PM,8:41 PM,9:24 PM
17-Sep,6:51 AM,1:08 PM,7:25 PM,12:33:51,−3:54,4:56 AM,5:38 AM,6:51 AM,7:25 PM,8:39 PM,9:21 PM
18-Sep,6:53 AM,1:08 PM,7:23 PM,12:29:57,−3:54,4:58 AM,5:40 AM,6:53 AM,7:23 PM,8:36 PM,9:18 PM
19-Sep,6:55 AM,1:08 PM,7:21 PM,12:26:02,−3:55,5:00 AM,5:41 AM,6:55 AM,7:21 PM,8:34 PM,9:16 PM
20-Sep,6:56 AM,1:07 PM,7:18 PM,12:22:08,−3:54,5:01 AM,5:43 AM,6:56 AM,7:18 PM,8:31 PM,9:13 PM
21-Sep,6:58 AM,1:07 PM,7:16 PM,12:18:13,−3:55,5:03 AM,5:45 AM,6:58 AM,7:16 PM,8:29 PM,9:10 PM
22-Sep,6:59 AM,1:06 PM,7:14 PM,12:14:18,−3:55,5:05 AM,5:46 AM,6:59 AM,7:14 PM,8:26 PM,9:08 PM
23-Sep,7:01 AM,1:06 PM,7:11 PM,12:10:23,−3:55,5:07 AM,5:48 AM,7:01 AM,7:11 PM,8:24 PM,9:05 PM
24-Sep,7:02 AM,1:06 PM,7:09 PM,12:06:28,−3:55,5:09 AM,5:50 AM,7:02 AM,7:09 PM,8:22 PM,9:02 PM
25-Sep,7:04 AM,1:05 PM,7:07 PM,12:02:33,−3:55,5:11 AM,5:52 AM,7:04 AM,7:07 PM,8:19 PM,9:00 PM
26-Sep,7:06 AM,1:05 PM,7:04 PM,11:58:37,−3:56,5:13 AM,5:53 AM,7:06 AM,7:04 PM,8:17 PM,8:57 PM
27-Sep,7:07 AM,1:05 PM,7:02 PM,11:54:43,−3:54,5:15 AM,5:55 AM,7:07 AM,7:02 PM,8:14 PM,8:55 PM
28-Sep,7:09 AM,1:04 PM,7:00 PM,11:50:47,−3:56,5:16 AM,5:57 AM,7:09 AM,7:00 PM,8:12 PM,8:52 PM
29-Sep,7:11 AM,1:04 PM,6:57 PM,11:46:52,−3:55,5:18 AM,5:58 AM,7:11 AM,6:57 PM,8:10 PM,8:50 PM
30-Sep,7:12 AM,1:04 PM,6:55 PM,11:42:57,−3:55,5:20 AM,6:00 AM,7:12 AM,6:55 PM,8:07 PM,8:47 PM
01-Oct,7:14 AM,1:03 PM,6:53 PM,11:39:02,−3:55,5:22 AM,6:02 AM,7:14 AM,6:53 PM,8:05 PM,8:45 PM
02-Oct,7:15 AM,1:03 PM,6:50 PM,11:35:07,−3:55,5:24 AM,6:03 AM,7:15 AM,6:50 PM,8:03 PM,8:42 PM
03-Oct,7:17 AM,1:03 PM,6:48 PM,11:31:12,−3:55,5:25 AM,6:05 AM,7:17 AM,6:48 PM,8:00 PM,8:40 PM
04-Oct,7:19 AM,1:02 PM,6:46 PM,11:27:18,−3:54,5:27 AM,6:07 AM,7:19 AM,6:46 PM,7:58 PM,8:37 PM
05-Oct,7:20 AM,1:02 PM,6:44 PM,11:23:24,−3:54,5:29 AM,6:08 AM,7:20 AM,6:44 PM,7:56 PM,8:35 PM
06-Oct,7:22 AM,1:02 PM,6:41 PM,11:19:29,−3:55,5:31 AM,6:10 AM,7:22 AM,6:41 PM,7:53 PM,8:33 PM
07-Oct,7:24 AM,1:01 PM,6:39 PM,11:15:35,−3:54,5:32 AM,6:12 AM,7:24 AM,6:39 PM,7:51 PM,8:30 PM
08-Oct,7:25 AM,1:01 PM,6:37 PM,11:11:42,−3:53,5:34 AM,6:13 AM,7:25 AM,6:37 PM,7:49 PM,8:28 PM
09-Oct,7:27 AM,1:01 PM,6:35 PM,11:07:48,−3:54,5:36 AM,6:15 AM,7:27 AM,6:35 PM,7:47 PM,8:26 PM
10-Oct,7:29 AM,1:01 PM,6:32 PM,11:03:55,−3:53,5:38 AM,6:17 AM,7:29 AM,6:32 PM,7:44 PM,8:24 PM
11-Oct,7:30 AM,1:00 PM,6:30 PM,11:00:02,−3:53,5:39 AM,6:18 AM,7:30 AM,6:30 PM,7:42 PM,8:21 PM
12-Oct,7:32 AM,1:00 PM,6:28 PM,10:56:10,−3:52,5:41 AM,6:20 AM,7:32 AM,6:28 PM,7:40 PM,8:19 PM
13-Oct,7:34 AM,1:00 PM,6:26 PM,10:52:17,−3:53,5:43 AM,6:21 AM,7:34 AM,6:26 PM,7:38 PM,8:17 PM
14-Oct,7:35 AM,12:59 PM,6:24 PM,10:48:25,−3:52,5:44 AM,6:23 AM,7:35 AM,6:24 PM,7:36 PM,8:15 PM
15-Oct,7:37 AM,12:59 PM,6:22 PM,10:44:35,−3:50,5:46 AM,6:25 AM,7:37 AM,6:22 PM,7:34 PM,8:13 PM
16-Oct,7:39 AM,12:59 PM,6:19 PM,10:40:43,−3:52,5:48 AM,6:26 AM,7:39 AM,6:19 PM,7:32 PM,8:11 PM
17-Oct,7:40 AM,12:59 PM,6:17 PM,10:36:54,−3:49,5:49 AM,6:28 AM,7:40 AM,6:17 PM,7:30 PM,8:08 PM
18-Oct,7:42 AM,12:59 PM,6:15 PM,10:33:04,−3:50,5:51 AM,6:30 AM,7:42 AM,6:15 PM,7:28 PM,8:06 PM
19-Oct,7:44 AM,12:58 PM,6:13 PM,10:29:15,−3:49,5:53 AM,6:31 AM,7:44 AM,6:13 PM,7:26 PM,8:04 PM
20-Oct,7:46 AM,12:58 PM,6:11 PM,10:25:26,−3:49,5:54 AM,6:33 AM,7:46 AM,6:11 PM,7:24 PM,8:02 PM
21-Oct,7:47 AM,12:58 PM,6:09 PM,10:21:39,−3:47,5:56 AM,6:34 AM,7:47 AM,6:09 PM,7:22 PM,8:00 PM
22-Oct,7:49 AM,12:58 PM,6:07 PM,10:17:52,−3:47,5:57 AM,6:36 AM,7:49 AM,6:07 PM,7:20 PM,7:58 PM
23-Oct,7:51 AM,12:58 PM,6:05 PM,10:14:06,−3:46,5:59 AM,6:38 AM,7:51 AM,6:05 PM,7:18 PM,7:57 PM
24-Oct,7:53 AM,12:58 PM,6:03 PM,10:10:22,−3:44,6:01 AM,6:39 AM,7:53 AM,6:03 PM,7:16 PM,7:55 PM
25-Oct,7:54 AM,12:58 PM,6:01 PM,10:06:37,−3:45,6:02 AM,6:41 AM,7:54 AM,6:01 PM,7:14 PM,7:53 PM
26-Oct,7:56 AM,12:57 PM,5:59 PM,10:02:54,−3:43,6:04 AM,6:42 AM,7:56 AM,5:59 PM,7:12 PM,7:51 PM
27-Oct,7:58 AM,12:57 PM,5:57 PM,09:59:11,−3:43,6:05 AM,6:44 AM,7:58 AM,5:57 PM,7:11 PM,7:49 PM
28-Oct,8:00 AM,12:57 PM,5:55 PM,09:55:30,−3:41,6:07 AM,6:46 AM,8:00 AM,5:55 PM,7:09 PM,7:48 PM
29-Oct,8:01 AM,12:57 PM,5:53 PM,09:51:50,−3:40,6:09 AM,6:47 AM,8:01 AM,5:53 PM,7:07 PM,7:46 PM
30-Oct,8:03 AM,12:57 PM,5:51 PM,09:48:12,−3:38,6:10 AM,6:49 AM,8:03 AM,5:51 PM,7:06 PM,7:44 PM
31-Oct,8:05 AM,12:57 PM,5:49 PM,09:44:34,−3:38,6:12 AM,6:50 AM,8:05 AM,5:49 PM,7:04 PM,7:43 PM
01-Nov,8:07 AM,12:57 PM,5:48 PM,09:40:58,−3:36,6:13 AM,6:52 AM,8:07 AM,5:48 PM,7:02 PM,7:41 PM
02-Nov,8:08 AM,12:57 PM,5:46 PM,09:37:24,−3:34,6:15 AM,6:54 AM,8:08 AM,5:46 PM,7:01 PM,7:39 PM
03-Nov,8:10 AM,12:57 PM,5:44 PM,09:33:51,−3:33,6:16 AM,6:55 AM,8:10 AM,5:44 PM,6:59 PM,7:38 PM
04-Nov,8:12 AM,12:57 PM,5:42 PM,09:30:19,−3:32,6:18 AM,6:57 AM,8:12 AM,5:42 PM,6:57 PM,7:36 PM
05-Nov,8:14 AM,12:57 PM,5:41 PM,09:26:49,−3:30,6:20 AM,6:58 AM,8:14 AM,5:41 PM,6:56 PM,7:35 PM
06-Nov,8:16 AM,12:57 PM,5:39 PM,09:23:21,−3:28,6:21 AM,7:00 AM,8:16 AM,5:39 PM,6:54 PM,7:33 PM
07-Nov,8:17 AM,12:57 PM,5:37 PM,09:19:56,−3:25,6:23 AM,7:02 AM,8:17 AM,5:37 PM,6:53 PM,7:32 PM
08-Nov,8:19 AM,12:57 PM,5:36 PM,09:16:32,−3:24,6:24 AM,7:03 AM,8:19 AM,5:36 PM,6:52 PM,7:31 PM
09-Nov,8:21 AM,12:57 PM,5:34 PM,09:13:10,−3:22,6:26 AM,7:05 AM,8:21 AM,5:34 PM,6:50 PM,7:29 PM
10-Nov,8:23 AM,12:58 PM,5:32 PM,09:09:50,−3:20,6:27 AM,7:06 AM,8:23 AM,5:32 PM,6:49 PM,7:28 PM
11-Nov,8:24 AM,12:58 PM,5:31 PM,09:06:33,−3:17,6:29 AM,7:08 AM,8:24 AM,5:31 PM,6:48 PM,7:27 PM
12-Nov,8:26 AM,12:58 PM,5:29 PM,09:03:18,−3:15,6:30 AM,7:09 AM,8:26 AM,5:29 PM,6:46 PM,7:26 PM
13-Nov,8:28 AM,12:58 PM,5:28 PM,09:00:05,−3:13,6:32 AM,7:11 AM,8:28 AM,5:28 PM,6:45 PM,7:24 PM
14-Nov,8:30 AM,12:58 PM,5:27 PM,08:56:55,−3:10,6:33 AM,7:12 AM,8:30 AM,5:27 PM,6:44 PM,7:23 PM
15-Nov,8:31 AM,12:58 PM,5:25 PM,08:53:48,−3:07,6:34 AM,7:14 AM,8:31 AM,5:25 PM,6:43 PM,7:22 PM
16-Nov,8:33 AM,12:58 PM,5:24 PM,08:50:44,−3:04,6:36 AM,7:15 AM,8:33 AM,5:24 PM,6:42 PM,7:21 PM
17-Nov,8:35 AM,12:59 PM,5:23 PM,08:47:42,−3:02,6:37 AM,7:17 AM,8:35 AM,5:23 PM,6:41 PM,7:20 PM
18-Nov,8:37 AM,12:59 PM,5:21 PM,08:44:44,−2:58,6:39 AM,7:18 AM,8:37 AM,5:21 PM,6:40 PM,7:19 PM
19-Nov,8:38 AM,12:59 PM,5:20 PM,08:41:49,−2:55,6:40 AM,7:20 AM,8:38 AM,5:20 PM,6:39 PM,7:18 PM
20-Nov,8:40 AM,12:59 PM,5:19 PM,08:38:57,−2:52,6:42 AM,7:21 AM,8:40 AM,5:19 PM,6:38 PM,7:17 PM
21-Nov,8:42 AM,1:00 PM,5:18 PM,08:36:09,−2:48,6:43 AM,7:23 AM,8:42 AM,5:18 PM,6:37 PM,7:16 PM
22-Nov,8:43 AM,1:00 PM,5:17 PM,08:33:25,−2:44,6:44 AM,7:24 AM,8:43 AM,5:17 PM,6:36 PM,7:16 PM
23-Nov,8:45 AM,1:00 PM,5:16 PM,08:30:44,−2:41,6:46 AM,7:25 AM,8:45 AM,5:16 PM,6:35 PM,7:15 PM
24-Nov,8:46 AM,1:00 PM,5:14 PM,08:28:07,−2:37,6:47 AM,7:27 AM,8:46 AM,5:14 PM,6:34 PM,7:14 PM
25-Nov,8:48 AM,1:01 PM,5:14 PM,08:25:33,−2:34,6:48 AM,7:28 AM,8:48 AM,5:14 PM,6:33 PM,7:13 PM
26-Nov,8:50 AM,1:01 PM,5:13 PM,08:23:05,−2:28,6:49 AM,7:29 AM,8:50 AM,5:13 PM,6:33 PM,7:13 PM
27-Nov,8:51 AM,1:01 PM,5:12 PM,08:20:40,−2:25,6:51 AM,7:31 AM,8:51 AM,5:12 PM,6:32 PM,7:12 PM
28-Nov,8:53 AM,1:02 PM,5:11 PM,08:18:20,−2:20,6:52 AM,7:32 AM,8:53 AM,5:11 PM,6:31 PM,7:12 PM
29-Nov,8:54 AM,1:02 PM,5:10 PM,08:16:05,−2:15,6:53 AM,7:33 AM,8:54 AM,5:10 PM,6:31 PM,7:11 PM
30-Nov,8:55 AM,1:02 PM,5:09 PM,08:13:54,−2:11,6:54 AM,7:34 AM,8:55 AM,5:09 PM,6:30 PM,7:11 PM
01-Dec,8:57 AM,1:03 PM,5:09 PM,08:11:47,−2:07,6:55 AM,7:36 AM,8:57 AM,5:09 PM,6:30 PM,7:10 PM
02-Dec,8:58 AM,1:03 PM,5:08 PM,08:09:46,−2:01,6:57 AM,7:37 AM,8:58 AM,5:08 PM,6:29 PM,7:10 PM
03-Dec,9:00 AM,1:04 PM,5:07 PM,08:07:49,−1:57,6:58 AM,7:38 AM,9:00 AM,5:07 PM,6:29 PM,7:09 PM
04-Dec,9:01 AM,1:04 PM,5:07 PM,08:05:58,−1:51,6:59 AM,7:39 AM,9:01 AM,5:07 PM,6:29 PM,7:09 PM
05-Dec,9:02 AM,1:04 PM,5:06 PM,08:04:13,−1:45,7:00 AM,7:40 AM,9:02 AM,5:06 PM,6:28 PM,7:09 PM
06-Dec,9:03 AM,1:05 PM,5:06 PM,08:02:32,−1:41,7:01 AM,7:41 AM,9:03 AM,5:06 PM,6:28 PM,7:09 PM
07-Dec,9:05 AM,1:05 PM,5:06 PM,08:00:58,−1:34,7:02 AM,7:42 AM,9:05 AM,5:06 PM,6:28 PM,7:08 PM
08-Dec,9:06 AM,1:06 PM,5:05 PM,07:59:29,−1:29,7:03 AM,7:43 AM,9:06 AM,5:05 PM,6:28 PM,7:08 PM
09-Dec,9:07 AM,1:06 PM,5:05 PM,07:58:05,−1:24,7:04 AM,7:44 AM,9:07 AM,5:05 PM,6:28 PM,7:08 PM
10-Dec,9:08 AM,1:06 PM,5:05 PM,07:56:47,−1:18,7:05 AM,7:45 AM,9:08 AM,5:05 PM,6:28 PM,7:08 PM
11-Dec,9:09 AM,1:07 PM,5:05 PM,07:55:36,−1:11,7:06 AM,7:46 AM,9:09 AM,5:05 PM,6:28 PM,7:08 PM
12-Dec,9:10 AM,1:07 PM,5:05 PM,07:54:31,−1:05,7:06 AM,7:47 AM,9:10 AM,5:05 PM,6:28 PM,7:08 PM
13-Dec,9:11 AM,1:08 PM,5:05 PM,07:53:31,−1:00,7:07 AM,7:48 AM,9:11 AM,5:05 PM,6:28 PM,7:08 PM
14-Dec,9:12 AM,1:08 PM,5:05 PM,07:52:38,−0:53,7:08 AM,7:49 AM,9:12 AM,5:05 PM,6:28 PM,7:08 PM
15-Dec,9:13 AM,1:09 PM,5:05 PM,07:51:51,−0:47,7:09 AM,7:50 AM,9:13 AM,5:05 PM,6:28 PM,7:09 PM
16-Dec,9:14 AM,1:09 PM,5:05 PM,07:51:10,−0:41,7:10 AM,7:50 AM,9:14 AM,5:05 PM,6:28 PM,7:09 PM
17-Dec,9:14 AM,1:10 PM,5:05 PM,07:50:36,−0:34,7:10 AM,7:51 AM,9:14 AM,5:05 PM,6:28 PM,7:09 PM
18-Dec,9:15 AM,1:10 PM,5:05 PM,07:50:08,−0:28,7:11 AM,7:52 AM,9:15 AM,5:05 PM,6:29 PM,7:09 PM
19-Dec,9:16 AM,1:11 PM,5:06 PM,07:49:47,−0:21,7:11 AM,7:52 AM,9:16 AM,5:06 PM,6:29 PM,7:10 PM
20-Dec,9:16 AM,1:11 PM,5:06 PM,07:49:32,−0:15,7:12 AM,7:53 AM,9:16 AM,5:06 PM,6:29 PM,7:10 PM
21-Dec,9:17 AM,1:12 PM,5:06 PM,07:49:24,−0:08,7:13 AM,7:53 AM,9:17 AM,5:06 PM,6:30 PM,7:11 PM
22-Dec,9:17 AM,1:12 PM,5:07 PM,07:49:22,−0:02,7:13 AM,7:54 AM,9:17 AM,5:07 PM,6:30 PM,7:11 PM
23-Dec,9:18 AM,1:13 PM,5:07 PM,07:49:26,+0:04,7:13 AM,7:54 AM,9:18 AM,5:07 PM,6:31 PM,7:12 PM
24-Dec,9:18 AM,1:13 PM,5:08 PM,07:49:38,+0:12,7:14 AM,7:55 AM,9:18 AM,5:08 PM,6:31 PM,7:12 PM
25-Dec,9:19 AM,1:14 PM,5:08 PM,07:49:56,+0:18,7:14 AM,7:55 AM,9:19 AM,5:08 PM,6:32 PM,7:13 PM
26-Dec,9:19 AM,1:14 PM,5:09 PM,07:50:20,+0:24,7:15 AM,7:55 AM,9:19 AM,5:09 PM,6:33 PM,7:13 PM
27-Dec,9:19 AM,1:14 PM,5:10 PM,07:50:51,+0:31,7:15 AM,7:56 AM,9:19 AM,5:10 PM,6:33 PM,7:14 PM
28-Dec,9:19 AM,1:15 PM,5:11 PM,07:51:28,+0:37,7:15 AM,7:56 AM,9:19 AM,5:11 PM,6:34 PM,7:15 PM
29-Dec,9:19 AM,1:15 PM,5:12 PM,07:52:12,+0:44,7:15 AM,7:56 AM,9:19 AM,5:12 PM,6:35 PM,7:15 PM
30-Dec,9:19 AM,1:16 PM,5:12 PM,07:53:01,+0:49,7:16 AM,7:56 AM,9:19 AM,5:12 PM,6:36 PM,7:16 PM
31-Dec,9:19 AM,1:16 PM,5:13 PM,07:53:58,+0:57,7:16 AM,7:56 AM,9:19 AM,5:13 PM,6:36 PM,7:17 PM
