2022,sunrise time,Zenith,FW Sunset,Day length,Astronomical twilight start,Nautical twilight start,Civil twilight start,Civil twilight end,Nautical twilight end,Astronomical twilight end,
01-Jan,9:58 AM,1:25 PM,4:51 PM,06:52:56,+1:26,7:33 AM,8:19 AM,9:58 AM,4:51 PM,6:30 PM,7:16 PM
02-Jan,9:58 AM,1:25 PM,4:52 PM,06:54:29,+1:33,7:33 AM,8:19 AM,9:58 AM,4:52 PM,6:31 PM,7:17 PM
03-Jan,9:57 AM,1:26 PM,4:54 PM,06:56:11,+1:42,7:33 AM,8:19 AM,9:57 AM,4:54 PM,6:32 PM,7:18 PM
04-Jan,9:57 AM,1:26 PM,4:55 PM,06:58:01,+1:50,7:33 AM,8:19 AM,9:57 AM,4:55 PM,6:33 PM,7:19 PM
05-Jan,9:56 AM,1:26 PM,4:56 PM,06:59:58,+1:57,7:32 AM,8:19 AM,9:56 AM,4:56 PM,6:34 PM,7:20 PM
06-Jan,9:56 AM,1:27 PM,4:58 PM,07:02:02,+2:04,7:32 AM,8:18 AM,9:56 AM,4:58 PM,6:35 PM,7:22 PM
07-Jan,9:55 AM,1:27 PM,4:59 PM,07:04:14,+2:12,7:32 AM,8:18 AM,9:55 AM,4:59 PM,6:37 PM,7:23 PM
08-Jan,9:54 AM,1:28 PM,5:01 PM,07:06:32,+2:18,7:31 AM,8:17 AM,9:54 AM,5:01 PM,6:38 PM,7:24 PM
09-Jan,9:54 AM,1:28 PM,5:03 PM,07:08:59,+2:27,7:31 AM,8:17 AM,9:54 AM,5:03 PM,6:39 PM,7:25 PM
10-Jan,9:53 AM,1:29 PM,5:04 PM,07:11:31,+2:32,7:30 AM,8:16 AM,9:53 AM,5:04 PM,6:41 PM,7:27 PM
11-Jan,9:52 AM,1:29 PM,5:06 PM,07:14:10,+2:39,7:30 AM,8:16 AM,9:52 AM,5:06 PM,6:42 PM,7:28 PM
12-Jan,9:51 AM,1:29 PM,5:08 PM,07:16:56,+2:46,7:29 AM,8:15 AM,9:51 AM,5:08 PM,6:43 PM,7:29 PM
13-Jan,9:50 AM,1:30 PM,5:10 PM,07:19:47,+2:51,7:29 AM,8:14 AM,9:50 AM,5:10 PM,6:45 PM,7:31 PM
14-Jan,9:49 AM,1:30 PM,5:11 PM,07:22:45,+2:58,7:28 AM,8:14 AM,9:49 AM,5:11 PM,6:46 PM,7:32 PM
15-Jan,9:48 AM,1:30 PM,5:13 PM,07:25:48,+3:03,7:27 AM,8:13 AM,9:48 AM,5:13 PM,6:48 PM,7:34 PM
16-Jan,9:46 AM,1:31 PM,5:15 PM,07:28:57,+3:09,7:26 AM,8:12 AM,9:46 AM,5:15 PM,6:50 PM,7:35 PM
17-Jan,9:45 AM,1:31 PM,5:17 PM,07:32:11,+3:14,7:26 AM,8:11 AM,9:45 AM,5:17 PM,6:51 PM,7:37 PM
18-Jan,9:44 AM,1:31 PM,5:19 PM,07:35:31,+3:20,7:25 AM,8:10 AM,9:44 AM,5:19 PM,6:53 PM,7:38 PM
19-Jan,9:42 AM,1:32 PM,5:21 PM,07:38:55,+3:24,7:24 AM,8:09 AM,9:42 AM,5:21 PM,6:54 PM,7:40 PM
20-Jan,9:41 AM,1:32 PM,5:23 PM,07:42:24,+3:29,7:23 AM,8:08 AM,9:41 AM,5:23 PM,6:56 PM,7:41 PM
21-Jan,9:39 AM,1:32 PM,5:25 PM,07:45:58,+3:34,7:22 AM,8:07 AM,9:39 AM,5:25 PM,6:58 PM,7:43 PM
22-Jan,9:38 AM,1:33 PM,5:27 PM,07:49:36,+3:38,7:21 AM,8:06 AM,9:38 AM,5:27 PM,6:59 PM,7:45 PM
23-Jan,9:36 AM,1:33 PM,5:30 PM,07:53:18,+3:42,7:20 AM,8:05 AM,9:36 AM,5:30 PM,7:01 PM,7:46 PM
24-Jan,9:35 AM,1:33 PM,5:32 PM,07:57:04,+3:46,7:18 AM,8:03 AM,9:35 AM,5:32 PM,7:03 PM,7:48 PM
25-Jan,9:33 AM,1:33 PM,5:34 PM,08:00:53,+3:49,7:17 AM,8:02 AM,9:33 AM,5:34 PM,7:05 PM,7:50 PM
26-Jan,9:31 AM,1:34 PM,5:36 PM,08:04:47,+3:54,7:16 AM,8:01 AM,9:31 AM,5:36 PM,7:07 PM,7:51 PM
27-Jan,9:30 AM,1:34 PM,5:38 PM,08:08:44,+3:57,7:15 AM,7:59 AM,9:30 AM,5:38 PM,7:08 PM,7:53 PM
28-Jan,9:28 AM,1:34 PM,5:40 PM,08:12:45,+4:01,7:13 AM,7:58 AM,9:28 AM,5:40 PM,7:10 PM,7:55 PM
29-Jan,9:26 AM,1:34 PM,5:43 PM,08:16:49,+4:04,7:12 AM,7:56 AM,9:26 AM,5:43 PM,7:12 PM,7:57 PM
30-Jan,9:24 AM,1:34 PM,5:45 PM,08:20:55,+4:06,7:10 AM,7:55 AM,9:24 AM,5:45 PM,7:14 PM,7:59 PM
31-Jan,9:22 AM,1:35 PM,5:47 PM,08:25:05,+4:10,7:09 AM,7:53 AM,9:22 AM,5:47 PM,7:16 PM,8:00 PM
01-Feb,9:20 AM,1:35 PM,5:49 PM,08:29:17,+4:12,7:07 AM,7:52 AM,9:20 AM,5:49 PM,7:18 PM,8:02 PM
02-Feb,9:18 AM,1:35 PM,5:52 PM,08:33:32,+4:15,7:06 AM,7:50 AM,9:18 AM,5:52 PM,7:20 PM,8:04 PM
03-Feb,9:16 AM,1:35 PM,5:54 PM,08:37:49,+4:17,7:04 AM,7:48 AM,9:16 AM,5:54 PM,7:22 PM,8:06 PM
04-Feb,9:14 AM,1:35 PM,5:56 PM,08:42:08,+4:19,7:02 AM,7:47 AM,9:14 AM,5:56 PM,7:24 PM,8:08 PM
05-Feb,9:12 AM,1:35 PM,5:59 PM,08:46:30,+4:22,7:01 AM,7:45 AM,9:12 AM,5:59 PM,7:26 PM,8:10 PM
06-Feb,9:10 AM,1:35 PM,6:01 PM,08:50:55,+4:25,6:59 AM,7:43 AM,9:10 AM,6:01 PM,7:28 PM,8:12 PM
07-Feb,9:08 AM,1:35 PM,6:03 PM,08:55:20,+4:25,6:57 AM,7:41 AM,9:08 AM,6:03 PM,7:30 PM,8:14 PM
08-Feb,9:06 AM,1:36 PM,6:05 PM,08:59:47,+4:27,6:55 AM,7:39 AM,9:06 AM,6:05 PM,7:32 PM,8:16 PM
09-Feb,9:03 AM,1:36 PM,6:08 PM,09:04:17,+4:30,6:54 AM,7:38 AM,9:03 AM,6:08 PM,7:34 PM,8:18 PM
10-Feb,9:01 AM,1:36 PM,6:10 PM,09:08:47,+4:30,6:52 AM,7:36 AM,9:01 AM,6:10 PM,7:36 PM,8:20 PM
11-Feb,8:59 AM,1:36 PM,6:12 PM,09:13:20,+4:33,6:50 AM,7:34 AM,8:59 AM,6:12 PM,7:38 PM,8:22 PM
12-Feb,8:57 AM,1:36 PM,6:15 PM,09:17:54,+4:34,6:48 AM,7:32 AM,8:57 AM,6:15 PM,7:40 PM,8:24 PM
13-Feb,8:54 AM,1:36 PM,6:17 PM,09:22:29,+4:35,6:46 AM,7:30 AM,8:54 AM,6:17 PM,7:42 PM,8:26 PM
14-Feb,8:52 AM,1:36 PM,6:19 PM,09:27:06,+4:37,6:44 AM,7:27 AM,8:52 AM,6:19 PM,7:44 PM,8:28 PM
15-Feb,8:50 AM,1:36 PM,6:21 PM,09:31:43,+4:37,6:41 AM,7:25 AM,8:50 AM,6:21 PM,7:46 PM,8:30 PM
16-Feb,8:47 AM,1:36 PM,6:24 PM,09:36:22,+4:39,6:39 AM,7:23 AM,8:47 AM,6:24 PM,7:48 PM,8:32 PM
17-Feb,8:45 AM,1:35 PM,6:26 PM,09:41:03,+4:41,6:37 AM,7:21 AM,8:45 AM,6:26 PM,7:50 PM,8:34 PM
18-Feb,8:43 AM,1:35 PM,6:28 PM,09:45:43,+4:40,6:35 AM,7:19 AM,8:43 AM,6:28 PM,7:52 PM,8:36 PM
19-Feb,8:40 AM,1:35 PM,6:31 PM,09:50:25,+4:42,6:33 AM,7:17 AM,8:40 AM,6:31 PM,7:54 PM,8:38 PM
20-Feb,8:38 AM,1:35 PM,6:33 PM,09:55:07,+4:42,6:30 AM,7:14 AM,8:38 AM,6:33 PM,7:56 PM,8:40 PM
21-Feb,8:35 AM,1:35 PM,6:35 PM,09:59:50,+4:43,6:28 AM,7:12 AM,8:35 AM,6:35 PM,7:58 PM,8:42 PM
22-Feb,8:33 AM,1:35 PM,6:37 PM,10:04:34,+4:44,6:26 AM,7:10 AM,8:33 AM,6:37 PM,8:00 PM,8:44 PM
23-Feb,8:30 AM,1:35 PM,6:40 PM,10:09:19,+4:45,6:23 AM,7:07 AM,8:30 AM,6:40 PM,8:02 PM,8:46 PM
24-Feb,8:28 AM,1:35 PM,6:42 PM,10:14:04,+4:45,6:21 AM,7:05 AM,8:28 AM,6:42 PM,8:04 PM,8:49 PM
25-Feb,8:25 AM,1:35 PM,6:44 PM,10:18:50,+4:46,6:18 AM,7:03 AM,8:25 AM,6:44 PM,8:07 PM,8:51 PM
26-Feb,8:23 AM,1:34 PM,6:46 PM,10:23:36,+4:46,6:16 AM,7:00 AM,8:23 AM,6:46 PM,8:09 PM,8:53 PM
27-Feb,8:20 AM,1:34 PM,6:48 PM,10:28:23,+4:47,6:13 AM,6:58 AM,8:20 AM,6:48 PM,8:11 PM,8:55 PM
28-Feb,8:17 AM,1:34 PM,6:51 PM,10:33:10,+4:47,6:11 AM,6:55 AM,8:17 AM,6:51 PM,8:13 PM,8:57 PM
01-Mar,8:15 AM,1:34 PM,6:53 PM,10:37:58,+4:48,6:08 AM,6:53 AM,8:15 AM,6:53 PM,8:15 PM,8:59 PM
02-Mar,8:12 AM,1:34 PM,6:55 PM,10:42:46,+4:48,6:06 AM,6:50 AM,8:12 AM,6:55 PM,8:17 PM,9:02 PM
03-Mar,8:10 AM,1:33 PM,6:57 PM,10:47:34,+4:48,6:03 AM,6:48 AM,8:10 AM,6:57 PM,8:19 PM,9:04 PM
04-Mar,8:07 AM,1:33 PM,6:59 PM,10:52:23,+4:49,6:00 AM,6:45 AM,8:07 AM,6:59 PM,8:21 PM,9:06 PM
05-Mar,8:04 AM,1:33 PM,7:02 PM,10:57:11,+4:48,5:58 AM,6:42 AM,8:04 AM,7:02 PM,8:24 PM,9:08 PM
06-Mar,8:02 AM,1:33 PM,7:04 PM,11:02:01,+4:50,5:55 AM,6:40 AM,8:02 AM,7:04 PM,8:26 PM,9:11 PM
07-Mar,7:59 AM,1:33 PM,7:06 PM,11:06:50,+4:49,5:52 AM,6:37 AM,7:59 AM,7:06 PM,8:28 PM,9:13 PM
08-Mar,7:56 AM,1:32 PM,7:08 PM,11:11:39,+4:49,5:49 AM,6:34 AM,7:56 AM,7:08 PM,8:30 PM,9:15 PM
09-Mar,7:54 AM,1:32 PM,7:10 PM,11:16:30,+4:51,5:46 AM,6:32 AM,7:54 AM,7:10 PM,8:32 PM,9:18 PM
10-Mar,7:51 AM,1:32 PM,7:12 PM,11:21:19,+4:49,5:43 AM,6:29 AM,7:51 AM,7:12 PM,8:34 PM,9:20 PM
11-Mar,7:48 AM,1:31 PM,7:15 PM,11:26:10,+4:51,5:40 AM,6:26 AM,7:48 AM,7:15 PM,8:37 PM,9:22 PM
12-Mar,7:46 AM,1:31 PM,7:17 PM,11:30:59,+4:49,5:38 AM,6:24 AM,7:46 AM,7:17 PM,8:39 PM,9:25 PM
13-Mar,7:43 AM,1:31 PM,7:19 PM,11:35:49,+4:50,5:35 AM,6:21 AM,7:43 AM,7:19 PM,8:41 PM,9:27 PM
14-Mar,7:40 AM,1:31 PM,7:21 PM,11:40:40,+4:51,5:32 AM,6:18 AM,7:40 AM,7:21 PM,8:43 PM,9:30 PM
15-Mar,7:38 AM,1:30 PM,7:23 PM,11:45:30,+4:50,5:28 AM,6:15 AM,7:38 AM,7:23 PM,8:45 PM,9:32 PM
16-Mar,7:35 AM,1:30 PM,7:25 PM,11:50:20,+4:50,5:25 AM,6:12 AM,7:35 AM,7:25 PM,8:48 PM,9:35 PM
17-Mar,7:32 AM,1:30 PM,7:27 PM,11:55:10,+4:50,5:22 AM,6:09 AM,7:32 AM,7:27 PM,8:50 PM,9:37 PM
18-Mar,7:29 AM,1:29 PM,7:29 PM,12:00:01,+4:51,5:19 AM,6:07 AM,7:29 AM,7:29 PM,8:52 PM,9:40 PM
19-Mar,7:27 AM,1:29 PM,7:32 PM,12:04:51,+4:50,5:16 AM,6:04 AM,7:27 AM,7:32 PM,8:55 PM,9:42 PM
20-Mar,7:24 AM,1:29 PM,7:34 PM,12:09:42,+4:51,5:13 AM,6:01 AM,7:24 AM,7:34 PM,8:57 PM,9:45 PM
21-Mar,7:21 AM,1:28 PM,7:36 PM,12:14:32,+4:50,5:10 AM,5:58 AM,7:21 AM,7:36 PM,8:59 PM,9:47 PM
22-Mar,7:18 AM,1:28 PM,7:38 PM,12:19:22,+4:50,5:06 AM,5:55 AM,7:18 AM,7:38 PM,9:01 PM,9:50 PM
23-Mar,7:16 AM,1:28 PM,7:40 PM,12:24:12,+4:50,5:03 AM,5:52 AM,7:16 AM,7:40 PM,9:04 PM,9:53 PM
24-Mar,7:13 AM,1:28 PM,7:42 PM,12:29:02,+4:50,5:00 AM,5:49 AM,7:13 AM,7:42 PM,9:06 PM,9:55 PM
25-Mar,7:10 AM,1:27 PM,7:44 PM,12:33:52,+4:50,4:56 AM,5:46 AM,7:10 AM,7:44 PM,9:08 PM,9:58 PM
26-Mar,7:08 AM,1:27 PM,7:46 PM,12:38:42,+4:50,4:53 AM,5:43 AM,7:08 AM,7:46 PM,9:11 PM,10:01 PM
27-Mar,7:05 AM,1:27 PM,7:48 PM,12:43:32,+4:50,4:49 AM,5:40 AM,7:05 AM,7:48 PM,9:13 PM,10:04 PM
28-Mar,7:02 AM,1:26 PM,7:50 PM,12:48:22,+4:50,4:46 AM,5:37 AM,7:02 AM,7:50 PM,9:16 PM,10:07 PM
29-Mar,6:59 AM,1:26 PM,7:53 PM,12:53:10,+4:48,4:42 AM,5:34 AM,6:59 AM,7:53 PM,9:18 PM,10:10 PM
30-Mar,6:57 AM,1:26 PM,7:55 PM,12:58:00,+4:50,4:39 AM,5:31 AM,6:57 AM,7:55 PM,9:20 PM,10:13 PM
31-Mar,6:54 AM,1:25 PM,7:57 PM,13:02:49,+4:49,4:35 AM,5:28 AM,6:54 AM,7:57 PM,9:23 PM,10:16 PM
01-Apr,6:51 AM,1:25 PM,7:59 PM,13:07:38,+4:49,4:32 AM,5:25 AM,6:51 AM,7:59 PM,9:25 PM,10:19 PM
02-Apr,6:49 AM,1:25 PM,8:01 PM,13:12:27,+4:49,4:28 AM,5:22 AM,6:49 AM,8:01 PM,9:28 PM,10:22 PM
03-Apr,6:46 AM,1:24 PM,8:03 PM,13:17:15,+4:48,4:24 AM,5:18 AM,6:46 AM,8:03 PM,9:30 PM,10:25 PM
04-Apr,6:43 AM,1:24 PM,8:05 PM,13:22:03,+4:48,4:20 AM,5:15 AM,6:43 AM,8:05 PM,9:33 PM,10:28 PM
05-Apr,6:40 AM,1:24 PM,8:07 PM,13:26:51,+4:48,4:16 AM,5:12 AM,6:40 AM,8:07 PM,9:36 PM,10:31 PM
06-Apr,6:38 AM,1:24 PM,8:09 PM,13:31:38,+4:47,4:13 AM,5:09 AM,6:38 AM,8:09 PM,9:38 PM,10:35 PM
07-Apr,6:35 AM,1:23 PM,8:11 PM,13:36:26,+4:48,4:09 AM,5:06 AM,6:35 AM,8:11 PM,9:41 PM,10:38 PM
08-Apr,6:32 AM,1:23 PM,8:14 PM,13:41:12,+4:46,4:05 AM,5:03 AM,6:32 AM,8:14 PM,9:43 PM,10:41 PM
09-Apr,6:30 AM,1:23 PM,8:16 PM,13:45:59,+4:47,4:01 AM,4:59 AM,6:30 AM,8:16 PM,9:46 PM,10:45 PM
10-Apr,6:27 AM,1:22 PM,8:18 PM,13:50:45,+4:46,3:56 AM,4:56 AM,6:27 AM,8:18 PM,9:49 PM,10:48 PM
11-Apr,6:24 AM,1:22 PM,8:20 PM,13:55:31,+4:46,3:52 AM,4:53 AM,6:24 AM,8:20 PM,9:51 PM,10:52 PM
12-Apr,6:22 AM,1:22 PM,8:22 PM,14:00:16,+4:45,3:48 AM,4:50 AM,6:22 AM,8:22 PM,9:54 PM,10:56 PM
13-Apr,6:19 AM,1:22 PM,8:24 PM,14:05:01,+4:45,3:44 AM,4:46 AM,6:19 AM,8:24 PM,9:57 PM,11:00 PM
14-Apr,6:17 AM,1:21 PM,8:26 PM,14:09:45,+4:44,3:39 AM,4:43 AM,6:17 AM,8:26 PM,10:00 PM,11:04 PM
15-Apr,6:14 AM,1:21 PM,8:28 PM,14:14:29,+4:44,3:35 AM,4:40 AM,6:14 AM,8:28 PM,10:03 PM,11:08 PM
16-Apr,6:11 AM,1:21 PM,8:30 PM,14:19:11,+4:42,3:30 AM,4:36 AM,6:11 AM,8:30 PM,10:05 PM,11:12 PM
17-Apr,6:09 AM,1:21 PM,8:33 PM,14:23:53,+4:42,3:25 AM,4:33 AM,6:09 AM,8:33 PM,10:08 PM,11:16 PM
18-Apr,6:06 AM,1:20 PM,8:35 PM,14:28:35,+4:42,3:20 AM,4:30 AM,6:06 AM,8:35 PM,10:11 PM,11:21 PM
19-Apr,6:04 AM,1:20 PM,8:37 PM,14:33:16,+4:41,3:15 AM,4:26 AM,6:04 AM,8:37 PM,10:14 PM,11:25 PM
20-Apr,6:01 AM,1:20 PM,8:39 PM,14:37:56,+4:40,3:10 AM,4:23 AM,6:01 AM,8:39 PM,10:17 PM,11:30 PM
21-Apr,5:59 AM,1:20 PM,8:41 PM,14:42:36,+4:40,3:05 AM,4:19 AM,5:59 AM,8:41 PM,10:20 PM,11:35 PM
22-Apr,5:56 AM,1:20 PM,8:43 PM,14:47:14,+4:38,2:59 AM,4:16 AM,5:56 AM,8:43 PM,10:23 PM,11:40 PM
23-Apr,5:54 AM,1:19 PM,8:45 PM,14:51:51,+4:37,2:53 AM,4:13 AM,5:54 AM,8:45 PM,10:26 PM,11:46 PM
24-Apr,5:51 AM,1:19 PM,8:48 PM,14:56:28,+4:37,2:47 AM,4:09 AM,5:51 AM,8:48 PM,10:30 PM,11:51 PM
25-Apr,5:49 AM,1:19 PM,8:50 PM,15:01:04,+4:36,2:41 AM,4:06 AM,5:49 AM,8:50 PM,10:33 PM,11:58 PM
26-Apr,5:46 AM,1:19 PM,8:52 PM,15:05:37,+4:33,2:34 AM,4:02 AM,5:46 AM,8:52 PM,10:36 PM,12:04 AM
27-Apr,5:44 AM,1:19 PM,8:54 PM,15:10:11,+4:34,2:26 AM,3:58 AM,5:44 AM,8:54 PM,10:39 PM,12:12 AM
28-Apr,5:41 AM,1:19 PM,8:56 PM,15:14:42,+4:31,2:18 AM,3:55 AM,5:41 AM,8:56 PM,10:42 PM,12:20 AM
